DATE,BOGZ1FL075035503Q
1945-10-01,13205
1946-10-01,12965
1947-10-01,15710
1948-10-01,17481
1949-10-01,17421
1950-10-01,17632
1951-10-01,19679
1952-01-01,20251
1952-04-01,20187
1952-07-01,20137
1952-10-01,20187
1953-01-01,20238
1953-04-01,20529
1953-07-01,20807
1953-10-01,20769
1954-01-01,20478
1954-04-01,20276
1954-07-01,20276
1954-10-01,20301
1955-01-01,20352
1955-04-01,20529
1955-07-01,20807
1955-10-01,21275
1956-01-01,22224
1956-04-01,22148
1956-07-01,22742
1956-10-01,22957
1957-01-01,23185
1957-04-01,23489
1957-07-01,23640
1957-10-01,23628
1958-01-01,23071
1958-04-01,23223
1958-07-01,23312
1958-10-01,23375
1959-01-01,23223
1959-04-01,23362
1959-07-01,23451
1959-10-01,23463
1960-01-01,23552
1960-04-01,23413
1960-07-01,23299
1960-10-01,23135
1961-01-01,23135
1961-04-01,23185
1961-07-01,23210
1961-10-01,23299
1962-01-01,23337
1962-04-01,23425
1962-07-01,23387
1962-10-01,23463
1963-01-01,23539
1963-04-01,23590
1963-07-01,23653
1963-10-01,23678
1964-01-01,23653
1964-04-01,23906
1964-07-01,23944
1964-10-01,24323
1965-01-01,24361
1965-04-01,24539
1965-07-01,24602
1965-10-01,25095
1966-01-01,25019
1966-04-01,25576
1966-07-01,25614
1966-10-01,25943
1967-01-01,26056
1967-04-01,26196
1967-07-01,26373
1967-10-01,26739
1968-01-01,27106
1968-04-01,27460
1968-07-01,27688
1968-10-01,28384
1969-01-01,28788
1969-04-01,29256
1969-07-01,29649
1969-10-01,30218
1970-01-01,30521
1970-04-01,31470
1970-07-01,31559
1970-10-01,32065
1971-01-01,32748
1971-04-01,33494
1971-07-01,34227
1971-10-01,34835
1972-01-01,35518
1972-04-01,35960
1972-07-01,36454
1972-10-01,37162
1973-01-01,37706
1973-04-01,38515
1973-07-01,39578
1973-10-01,40552
1974-01-01,41627
1974-04-01,43436
1974-07-01,45447
1974-10-01,47357
1975-01-01,48736
1975-04-01,49621
1975-07-01,50038
1975-10-01,50633
1976-01-01,50924
1976-04-01,51847
1976-07-01,52606
1976-10-01,53352
1977-01-01,55009
1977-04-01,56009
1977-07-01,57261
1977-10-01,58450
1978-01-01,59715
1978-04-01,61384
1978-07-01,62915
1978-10-01,64635
1979-01-01,66456
1979-04-01,68468
1979-07-01,70593
1979-10-01,72098
1980-01-01,73350
1980-04-01,74855
1980-07-01,76436
1980-10-01,78802
1981-01-01,82255
1981-04-01,85139
1981-07-01,87580
1981-10-01,90628
1982-01-01,92563
1982-04-01,93512
1982-07-01,93778
1982-10-01,93322
1983-01-01,91703
1983-04-01,90742
1983-07-01,90527
1983-10-01,90388
1984-01-01,90502
1984-04-01,91400
1984-07-01,91969
1984-10-01,92513
1985-01-01,93196
1985-04-01,93423
1985-07-01,93917
1985-10-01,92263
1986-01-01,94072
1986-04-01,95917
1986-07-01,97275
1986-10-01,98651
1987-01-01,100624
1987-04-01,102637
1987-07-01,103197
1987-10-01,103761
1988-01-01,104925
1988-04-01,106102
1988-07-01,106366
1988-10-01,106630
1989-01-01,107602
1989-04-01,108583
1989-07-01,108981
1989-10-01,109380
1990-01-01,108414
1990-04-01,107456
1990-07-01,107014
1990-10-01,106574
1991-01-01,105565
1991-04-01,104565
1991-07-01,101038
1991-10-01,97629
1992-01-01,95396
1992-04-01,93214
1992-07-01,90705
1992-10-01,88264
1993-01-01,87385
1993-04-01,86514
1993-07-01,86432
1993-10-01,86351
1994-01-01,87355
1994-04-01,88371
1994-07-01,89332
1994-10-01,90361
1995-01-01,90609
1995-04-01,90517
1995-07-01,91234
1995-10-01,92103
1996-01-01,92508
1996-04-01,92300
1996-07-01,90765
1996-10-01,92105
1997-01-01,103374
1997-04-01,101533
1997-07-01,105265
1997-10-01,113321
1998-01-01,121210
1998-04-01,120570
1998-07-01,124679
1998-10-01,126409
1999-01-01,123827
1999-04-01,120911
1999-07-01,126688
1999-10-01,129783
2000-01-01,126885
2000-04-01,125869
2000-07-01,139062
2000-10-01,143801
2001-01-01,143011
2001-04-01,141931
2001-07-01,143614
2001-10-01,139008
2002-01-01,139077
2002-04-01,139601
2002-07-01,141168
2002-10-01,144686
2003-01-01,152190
2003-04-01,151098
2003-07-01,149218
2003-10-01,147309
2004-01-01,153583
2004-04-01,163297
2004-07-01,174327
2004-10-01,178058
2005-01-01,179040
2005-04-01,184598
2005-07-01,190430
2005-10-01,198317
2006-01-01,203978
2006-04-01,212035
2006-07-01,220299
2006-10-01,221978
2007-01-01,229989
2007-04-01,239070
2007-07-01,247261
2007-10-01,247035
2008-01-01,234267
2008-04-01,223545
2008-07-01,229890
2008-10-01,219033
2009-01-01,211301
2009-04-01,180447
2009-07-01,161556
2009-10-01,157948
2010-01-01,153536
2010-04-01,166808
2010-07-01,167452
2010-10-01,167993
2011-01-01,171898
2011-04-01,173120
2011-07-01,168813
2011-10-01,176285
2012-01-01,180199
2012-04-01,177845
2012-07-01,183374
2012-10-01,183986
2013-01-01,187805
2013-04-01,196712
2013-07-01,206943
2013-10-01,211308
2014-01-01,208998
2014-04-01,214377
2014-07-01,217245
2014-10-01,225723
2015-01-01,239369
2015-04-01,242605
2015-07-01,244803
2015-10-01,245255
2016-01-01,237599
2016-04-01,241874
2016-07-01,253078
2016-10-01,256651
2017-01-01,254527
2017-04-01,263052
2017-07-01,267176
2017-10-01,275961
2018-01-01,271545
2018-04-01,285944
2018-07-01,277817
2018-10-01,278999
2019-01-01,287370
2019-04-01,300927
2019-07-01,308497
2019-10-01,300774
2020-01-01,303479
2020-04-01,304171